"YEAR" "HAUL_NUMBER" "GENUS" "SPECIES" "SEX" "WEIGHT_OF_THE_FRACTION" "WEIGHT_OF_THE_SAMPLE_MEASURED" "SumSexTotal" "raising"
"65" 2001 22 "HELI" "DAC" "I" 2 2 1 1
"66" 2001 27 "HELI" "DAC" "I" 2 2 1 1
"67" 2018 39 "HELI" "DAC" "I" 2 2 1 1
"68" 2001 83 "HELI" "DAC" "I" 2 2 1 1
"69" 2012 83 "HELI" "DAC" "I" 2 2 1 1
"70" 2006 84 "HELI" "DAC" "I" 2 2 1 1
"71" 2001 89 "HELI" "DAC" "I" 2 2 1 1
"72" 1998 94 "HELI" "DAC" "I" 2 2 1 1
"73" 2001 95 "HELI" "DAC" "I" 2 2 1 1
"74" 2000 102 "HELI" "DAC" "I" 2 2 1 1
"75" 1996 103 "HELI" "DAC" "I" 2 2 1 1
"76" 2003 103 "HELI" "DAC" "I" 2 2 1 1
"77" 2009 103 "HELI" "DAC" "I" 2 2 1 1
"78" 1998 107 "HELI" "DAC" "I" 2 2 1 1
"79" 2008 107 "HELI" "DAC" "I" 2 2 1 1
"80" 2004 110 "HELI" "DAC" "I" 2 2 1 1
"81" 1995 111 "HELI" "DAC" "I" 2 2 1 1
"82" 2000 111 "HELI" "DAC" "I" 2 2 2 2
"83" 1996 113 "HELI" "DAC" "I" 2 2 2 2
"84" 1998 113 "HELI" "DAC" "I" 2 2 2 2
"85" 2001 113 "HELI" "DAC" "I" 2 2 2 2
"86" 2004 113 "HELI" "DAC" "I" 2 2 1 1
"87" 1998 133 "HELI" "DAC" "I" 2 2 1 1
"88" 1996 135 "HELI" "DAC" "I" 2 2 1 1
"89" 1999 135 "HELI" "DAC" "I" 2 2 1 1
"90" 2000 136 "HELI" "DAC" "I" 2 2 1 1
"91" 1996 137 "HELI" "DAC" "I" 2 2 2 2
"92" 1998 137 "HELI" "DAC" "I" 2 2 1 1
"93" 1998 138 "HELI" "DAC" "I" 2 2 1 1
"94" 2001 138 "HELI" "DAC" "I" 2 2 1 1
"95" 2002 138 "HELI" "DAC" "I" 2 2 1 1
"96" 2003 138 "HELI" "DAC" "I" 2 2 1 1
"97" 2014 146 "HELI" "DAC" "I" 2 2 1 1
"98" 2012 158 "HELI" "DAC" "I" 2 2 1 1
"99" 2018 180 "ENGR" "ENC" "I" 2 2 1 1
"100" 2016 4 "ZEUS" "FAB" "I" 2 2 1 1
"101" 2011 10 "ZEUS" "FAB" "I" 2 2 1 1
"102" 1996 11 "ZEUS" "FAB" "I" 2 2 1 1
"103" 2004 12 "ZEUS" "FAB" "I" 2 2 1 1
"104" 2017 88 "ZEUS" "FAB" "I" 2 2 2 2
"105" 2014 95 "ZEUS" "FAB" "I" 2 2 1 1
"106" 1999 105 "ZEUS" "FAB" "I" 2 2 1 1
"107" 1996 123 "ZEUS" "FAB" "I" 2 2 1 1
"108" 1997 125 "ZEUS" "FAB" "I" 2 2 2 2
"109" 2004 125 "ZEUS" "FAB" "I" 2 2 1 1
"110" 2001 128 "ZEUS" "FAB" "I" 2 2 1 1
"111" 2017 165 "ZEUS" "FAB" "I" 2 2 1 1
"112" 2018 80 "SPIC" "FLE" "I" 2 2 1 1
"113" 2007 109 "SPIC" "FLE" "I" 2 2 1 1
"114" 2015 83 "EUTR" "GUR" "I" 2 2 1 1
"115" 2000 88 "EUTR" "GUR" "I" 2 2 1 1
"116" 2000 97 "EUTR" "GUR" "I" 2 2 1 1
"117" 2009 103 "EUTR" "GUR" "I" 2 2 1 1
"118" 1997 104 "EUTR" "GUR" "I" 2 2 1 1
"119" 2000 110 "EUTR" "GUR" "I" 2 2 1 1
"120" 2002 110 "EUTR" "GUR" "I" 2 2 1 1
"121" 1995 111 "EUTR" "GUR" "I" 2 2 1 1
"122" 2001 113 "EUTR" "GUR" "I" 2 2 1 1
"123" 1995 134 "EUTR" "GUR" "I" 2 2 1 1
"124" 2010 148 "EUTR" "GUR" "I" 2 2 1 1
"125" 2018 162 "EUTR" "GUR" "I" 2 2 1 1
"126" 2005 124 "TRAC" "MED" "I" 2 2 1 1
"127" 2018 126 "TRAC" "MED" "I" 2 2 1 1
"128" 2018 129 "TRAC" "MED" "I" 2 2 1 1
"129" 2018 151 "TRAC" "MED" "I" 2 2 4 4
"130" 2017 161 "TRAC" "MED" "I" 2 2 1 1
"131" 2018 165 "MERL" "MER" "I" 2 2 1 1
"132" 1998 138 "MICM" "POU" "I" 2 2 1 1
"133" 2018 112 "SCOM" "SCO" "I" 2 2 1 1
"134" 2017 1 "SPIC" "SMA" "I" 2 2 1 1
"135" 2018 123 "SPIC" "SMA" "I" 2 2 1 1
"136" 2010 2 "MULL" "SUR" "I" 2 2 1 1
"137" 2006 31 "TRAC" "TRA" "I" 2 2 1 1
"138" 1999 84 "TRAC" "TRA" "I" 2 2 2 2
"139" 2017 97 "TRAC" "TRA" "I" 2 2 1 1
"140" 1998 101 "TRAC" "TRA" "I" 2 2 1 1
"141" 2000 109 "LOLI" "VUL" "I" 2 2 1 1
"142" 2009 158 "TRIS" "CAP" "M" 2 2 1 1
"143" 1999 112 "PAPE" "LON" "M" 2 2 1 1
"144" 2011 125 "PAPE" "LON" "M" 2 2 1 1
"145" 2000 96 "SCYO" "CAN" "F" 3 3 1 1
"146" 2012 139 "SCYO" "CAN" "F" 3 3 1 1
"147" 1998 145 "ARIS" "FOL" "F" 3 3 2 2
"148" 2000 114 "PAPE" "LON" "F" 3 3 1 1
"149" 2001 114 "PAPE" "LON" "F" 3 3 1 1
"150" 2015 131 "PAPE" "LON" "F" 3 3 1 1
"151" 2015 80 "PAGE" "ACA" "I" 3 3 1 1
"152" 2001 19 "PHYI" "BLE" "I" 3 3 1 1
"153" 2000 20 "PHYI" "BLE" "I" 3 3 1 1
"154" 2000 22 "PHYI" "BLE" "I" 3 3 1 1
"155" 2001 27 "PHYI" "BLE" "I" 3 3 1 1
"156" 2000 103 "PHYI" "BLE" "I" 3 3 1 1
"157" 1995 108 "PHYI" "BLE" "I" 3 3 1 1
"158" 2000 113 "PHYI" "BLE" "I" 3 3 1 1
"159" 2000 132 "PHYI" "BLE" "I" 3 3 2 2
"160" 2001 135 "PHYI" "BLE" "I" 3 3 1 1
"161" 2012 147 "PHYI" "BLE" "I" 3 3 1 1
"162" 2009 100 "PAGE" "BOG" "I" 3 3 1 1
"163" 2004 16 "TRIS" "CAP" "I" 3 3 1 1
"164" 2003 106 "TRIS" "CAP" "I" 3 3 2 2
"165" 2000 125 "TRIS" "CAP" "I" 3 3 1 1
"166" 2000 135 "TRIS" "CAP" "I" 3 3 1 1
"167" 2010 147 "TRIS" "CAP" "I" 3 3 2 2
"168" 2015 179 "TRIS" "CAP" "I" 3 3 1 1
"169" 2005 104 "ELED" "CIR" "I" 3 3 1 1
"170" 1998 2 "ILLE" "COI" "I" 3 3 1 1
"171" 2014 112 "ILLE" "COI" "I" 3 3 1 1
"172" 2009 110 "ASPI" "CUC" "I" 3 3 2 2
"173" 2001 123 "ASPI" "CUC" "I" 3 3 1 1
"174" 2006 138 "ASPI" "CUC" "I" 3 3 1 1
"175" 2015 147 "ASPI" "CUC" "I" 3 3 1 1
"176" 2003 17 "HELI" "DAC" "I" 3 3 2 2
"177" 2004 19 "HELI" "DAC" "I" 3 3 1 1
"178" 2001 21 "HELI" "DAC" "I" 3 3 2 2
"179" 2002 22 "HELI" "DAC" "I" 3 3 1 1
"180" 2018 23 "HELI" "DAC" "I" 3 3 1 1
"181" 1996 33 "HELI" "DAC" "I" 3 3 2 2
"182" 1996 37 "HELI" "DAC" "I" 3 3 1 1
"183" 1996 38 "HELI" "DAC" "I" 3 3 1 1
"184" 2011 83 "HELI" "DAC" "I" 3 3 1 1
"185" 2004 90 "HELI" "DAC" "I" 3 3 2 2
"186" 2008 103 "HELI" "DAC" "I" 3 3 1 1
"187" 1995 107 "HELI" "DAC" "I" 3 3 2 2
"188" 2001 107 "HELI" "DAC" "I" 3 3 2 2
"189" 2014 132 "HELI" "DAC" "I" 3 3 1 1
"190" 2003 133 "HELI" "DAC" "I" 3 3 1 1
"191" 2001 137 "HELI" "DAC" "I" 3 3 1 1
"192" 2017 180 "HELI" "DAC" "I" 3 3 1 1
"193" 2017 4 "ZEUS" "FAB" "I" 3 3 1 1
"194" 1999 8 "ZEUS" "FAB" "I" 3 3 1 1
"195" 2000 125 "ZEUS" "FAB" "I" 3 3 1 1
"196" 2004 129 "ZEUS" "FAB" "I" 3 3 1 1
"197" 2001 7 "EUTR" "GUR" "I" 3 3 1 1
"198" 2000 83 "EUTR" "GUR" "I" 3 3 1 1
"199" 1997 90 "EUTR" "GUR" "I" 3 3 1 1
"200" 1996 104 "EUTR" "GUR" "I" 3 3 1 1
"201" 2000 104 "EUTR" "GUR" "I" 3 3 1 1
"202" 1997 107 "EUTR" "GUR" "I" 3 3 1 1
"203" 1997 108 "EUTR" "GUR" "I" 3 3 1 1
"204" 1995 113 "EUTR" "GUR" "I" 3 3 2 2
"205" 2001 127 "EUTR" "GUR" "I" 3 3 1 1
"206" 1997 128 "EUTR" "GUR" "I" 3 3 1 1
"207" 1997 131 "EUTR" "GUR" "I" 3 3 1 1
"208" 1999 131 "EUTR" "GUR" "I" 3 3 1 1
"209" 2000 133 "EUTR" "GUR" "I" 3 3 2 2
"210" 2000 134 "EUTR" "GUR" "I" 3 3 2 2
"211" 2000 136 "EUTR" "GUR" "I" 3 3 2 2
"212" 1995 138 "EUTR" "GUR" "I" 3 3 1 1
"213" 1996 138 "EUTR" "GUR" "I" 3 3 1 1
"214" 2015 157 "EUTR" "GUR" "I" 3 3 1 1
"215" 2001 108 "CITH" "MAC" "I" 3 3 1 1
"216" 2018 95 "TRAC" "MED" "I" 3 3 1 1
"217" 2000 97 "TRAC" "MED" "I" 3 3 1 1
"218" 2018 98 "TRAC" "MED" "I" 3 3 3 3
"219" 2013 126 "SEPI" "OFF" "I" 3 3 1 1
"220" 2018 83 "SCOM" "PNE" "I" 3 3 1 1
"221" 2015 100 "SCOM" "PNE" "I" 3 3 1 1
"222" 2015 121 "SCOM" "PNE" "I" 3 3 1 1
"223" 2015 107 "MICM" "POU" "I" 3 3 1 1
"224" 2016 23 "TRAC" "TRA" "I" 3 3 1 1
"225" 1995 77 "TRAC" "TRA" "I" 3 3 2 2
"226" 1994 81 "TRAC" "TRA" "I" 3 3 1 1
"227" 2007 109 "TRAC" "TRA" "I" 3 3 1 1
"228" 2014 6 "LOLI" "VUL" "I" 3 3 1 1
"229" 2011 132 "LOLI" "VUL" "I" 3 3 1 1
"230" 2003 19 "MULL" "BAR" "M" 3 3 1 1
"231" 2014 85 "ARIS" "FOL" "M" 3 3 1 1
"232" 2013 150 "PAPE" "LON" "M" 3 3 1 1
"233" 2015 154 "PAPE" "LON" "M" 3 3 1 1
"234" 2011 165 "PAPE" "LON" "M" 3 3 1 1
"235" 2011 105 "ELED" "MOS" "M" 3 3 1 1
"236" 2003 38 "LOPH" "BUD" "F" 4 4 1 1
"237" 2009 95 "TRIS" "CAP" "F" 4 4 1 1
"238" 1995 107 "ILLE" "COI" "F" 4 4 1 1
"239" 2015 101 "PAPE" "LON" "F" 4 4 2 2
"240" 2000 102 "PAPE" "LON" "F" 4 4 1 1
"241" 2017 1 "DIPL" "ANN" "I" 4 4 1 1
"242" 1999 129 "MULL" "BAR" "I" 4 4 1 1
"243" 2000 18 "PHYI" "BLE" "I" 4 4 1 1
"244" 2003 89 "PHYI" "BLE" "I" 4 4 1 1
"245" 1998 98 "PHYI" "BLE" "I" 4 4 1 1
"246" 1995 113 "PHYI" "BLE" "I" 4 4 1 1
"247" 1998 8 "LEPM" "BOS" "I" 4 4 1 1
"248" 2006 93 "TRIS" "CAP" "I" 4 4 1 1
"249" 2004 105 "TRIS" "CAP" "I" 4 4 1 1
"250" 2004 107 "TRIS" "CAP" "I" 4 4 1 1
"251" 2008 108 "TRIS" "CAP" "I" 4 4 1 1
"252" 1998 114 "TRIS" "CAP" "I" 4 4 1 1
"253" 1997 118 "TRIS" "CAP" "I" 4 4 1 1
"254" 1995 125 "TRIS" "CAP" "I" 4 4 1 1
"255" 2000 6 "ILLE" "COI" "I" 4 4 1 1
"256" 2002 125 "ILLE" "COI" "I" 4 4 1 1
"257" 1994 132 "ILLE" "COI" "I" 4 4 1 1
"258" 2009 112 "ASPI" "CUC" "I" 4 4 1 1
"259" 2001 124 "ASPI" "CUC" "I" 4 4 1 1
"260" 2012 133 "ASPI" "CUC" "I" 4 4 1 1
"261" 2004 11 "HELI" "DAC" "I" 4 4 1 1
"262" 1998 16 "HELI" "DAC" "I" 4 4 1 1
"263" 1997 20 "HELI" "DAC" "I" 4 4 1 1
"264" 2004 23 "HELI" "DAC" "I" 4 4 1 1
"265" 2016 23 "HELI" "DAC" "I" 4 4 1 1
"266" 1996 84 "HELI" "DAC" "I" 4 4 1 1
"267" 2004 89 "HELI" "DAC" "I" 4 4 2 2
"268" 1997 90 "HELI" "DAC" "I" 4 4 2 2
"269" 1998 92 "HELI" "DAC" "I" 4 4 4 4
"270" 2001 93 "HELI" "DAC" "I" 4 4 3 3
"271" 1999 107 "HELI" "DAC" "I" 4 4 2 2
"272" 2000 107 "HELI" "DAC" "I" 4 4 2 2
"273" 2007 7 "ZEUS" "FAB" "I" 4 4 2 2
"274" 2003 10 "ZEUS" "FAB" "I" 4 4 2 2
"275" 2004 11 "ZEUS" "FAB" "I" 4 4 1 1
"276" 1996 100 "ZEUS" "FAB" "I" 4 4 1 1
"277" 1996 109 "ZEUS" "FAB" "I" 4 4 1 1
"278" 2000 109 "ZEUS" "FAB" "I" 4 4 1 1
"279" 2001 5 "EUTR" "GUR" "I" 4 4 1 1
"280" 2000 21 "EUTR" "GUR" "I" 4 4 1 1
"281" 1996 79 "EUTR" "GUR" "I" 4 4 1 1
"282" 2008 100 "EUTR" "GUR" "I" 4 4 1 1
"283" 1996 101 "EUTR" "GUR" "I" 4 4 1 1
"284" 1995 103 "EUTR" "GUR" "I" 4 4 1 1
"285" 1997 103 "EUTR" "GUR" "I" 4 4 1 1
"286" 2002 104 "EUTR" "GUR" "I" 4 4 1 1
"287" 1998 108 "EUTR" "GUR" "I" 4 4 1 1
"288" 1995 110 "EUTR" "GUR" "I" 4 4 1 1
"289" 1999 111 "EUTR" "GUR" "I" 4 4 1 1
"290" 2000 113 "EUTR" "GUR" "I" 4 4 3 3
"291" 1995 117 "EUTR" "GUR" "I" 4 4 1 1
"292" 2000 122 "EUTR" "GUR" "I" 4 4 1 1
"293" 2008 124 "EUTR" "GUR" "I" 4 4 1 1
"294" 2010 132 "EUTR" "GUR" "I" 4 4 1 1
"295" 1996 133 "EUTR" "GUR" "I" 4 4 1 1
"296" 1996 137 "EUTR" "GUR" "I" 4 4 1 1
"297" 2003 138 "EUTR" "GUR" "I" 4 4 1 1
"298" 2006 138 "EUTR" "GUR" "I" 4 4 1 1
"299" 1995 139 "EUTR" "GUR" "I" 4 4 1 1
"300" 2011 6 "CITH" "MAC" "I" 4 4 1 1
"301" 2001 128 "CITH" "MAC" "I" 4 4 1 1
"302" 2016 179 "CITH" "MAC" "I" 4 4 1 1
"303" 2018 112 "TRAC" "MED" "I" 4 4 2 2
"304" 2018 121 "SEPI" "OFF" "I" 4 4 1 1
"305" 1994 109 "SPAR" "PAG" "I" 4 4 1 1
"306" 1994 121 "SPAR" "PAG" "I" 4 4 1 1
"307" 2007 121 "SPIC" "SMA" "I" 4 4 2 2
"308" 2007 125 "SPIC" "SMA" "I" 4 4 2 2
"309" 1996 120 "MULL" "SUR" "I" 4 4 1 1
"310" 1998 19 "TRAC" "TRA" "I" 4 4 1 1
"311" 2001 20 "TRAC" "TRA" "I" 4 4 1 1
"312" 2000 76 "TRAC" "TRA" "I" 4 4 2 2
"313" 1999 101 "TRAC" "TRA" "I" 4 4 1 1
"314" 1999 120 "TRAC" "TRA" "I" 4 4 1 1
"315" 2007 88 "LOLI" "VUL" "I" 4 4 3 3
"316" 1999 90 "OCTO" "VUL" "I" 4 4 1 1
"317" 2001 19 "PAPE" "LON" "M" 4 4 1 1
"318" 2007 88 "PAPE" "LON" "M" 4 4 1 1
"319" 2007 103 "PAPE" "LON" "M" 4 4 1 1
"320" 1994 132 "PAPE" "LON" "M" 4 4 1 1
"321" 2016 86 "NEPR" "NOR" "M" 4 4 1 1
"322" 2009 76 "TRIS" "CAP" "F" 5 5 1 1
"323" 1996 2 "PAPE" "LON" "F" 5 5 1 1
"324" 2013 4 "PAPE" "LON" "F" 5 5 1 1
"325" 1998 7 "PAPE" "LON" "F" 5 5 1 1
"326" 2013 13 "PAPE" "LON" "F" 5 5 1 1
"327" 2001 88 "PAPE" "LON" "F" 5 5 2 2
"328" 2014 88 "PAPE" "LON" "F" 5 5 2 2
"329" 2015 93 "PAPE" "LON" "F" 5 5 1 1
"330" 2007 100 "PAPE" "LON" "F" 5 5 1 1
"331" 2007 102 "PAPE" "LON" "F" 5 5 1 1
"332" 2013 116 "PAPE" "LON" "F" 5 5 2 2
"333" 2003 118 "PAPE" "LON" "F" 5 5 1 1
"334" 2005 137 "PAPE" "LON" "F" 5 5 3 3
"335" 2015 138 "PAPE" "LON" "F" 5 5 1 1
"336" 2016 166 "PAPE" "LON" "F" 5 5 2 2
"337" 2018 178 "PAPE" "LON" "F" 5 5 1 1
"338" 2018 105 "SQUI" "MAN" "F" 5 5 1 1
"339" 2016 171 "SQUI" "MAN" "F" 5 5 1 1
"340" 2001 37 "NEPR" "NOR" "F" 5 5 1 1
"341" 2010 98 "NEPR" "NOR" "F" 5 5 1 1
"342" 2000 110 "NEPR" "NOR" "F" 5 5 1 1
"343" 2002 99 "PAGE" "ACA" "I" 5 5 1 1
"344" 2003 117 "PAGE" "ACA" "I" 5 5 1 1
"345" 2009 13 "PHYI" "BLE" "I" 5 5 1 1
"346" 2011 14 "PHYI" "BLE" "I" 5 5 1 1
"347" 2011 16 "PHYI" "BLE" "I" 5 5 1 1
"348" 2001 20 "PHYI" "BLE" "I" 5 5 1 1
"349" 2006 75 "PHYI" "BLE" "I" 5 5 1 1
"350" 2018 95 "PHYI" "BLE" "I" 5 5 1 1
"351" 2005 102 "PHYI" "BLE" "I" 5 5 1 1
"352" 2003 103 "PHYI" "BLE" "I" 5 5 1 1
"353" 2003 133 "PHYI" "BLE" "I" 5 5 1 1
"354" 2005 124 "PAGE" "BOG" "I" 5 5 1 1
"355" 2012 154 "PAGE" "BOG" "I" 5 5 1 1
"356" 2014 171 "PAGE" "BOG" "I" 5 5 1 1
"357" 2014 85 "LOPH" "BUD" "I" 5 5 1 1
"358" 2016 1 "TRIS" "CAP" "I" 5 5 1 1
"359" 2016 23 "TRIS" "CAP" "I" 5 5 2 2
"360" 2016 27 "TRIS" "CAP" "I" 5 5 1 1
"361" 2014 31 "TRIS" "CAP" "I" 5 5 1 1
"362" 2015 76 "TRIS" "CAP" "I" 5 5 2 2
"363" 2000 81 "TRIS" "CAP" "I" 5 5 1 1
"364" 2015 93 "TRIS" "CAP" "I" 5 5 1 1
"365" 2015 95 "TRIS" "CAP" "I" 5 5 1 1
"366" 1996 100 "TRIS" "CAP" "I" 5 5 1 1
"367" 2015 101 "TRIS" "CAP" "I" 5 5 1 1
"368" 2015 104 "TRIS" "CAP" "I" 5 5 2 2
"369" 1997 105 "TRIS" "CAP" "I" 5 5 2 2
"370" 2003 107 "TRIS" "CAP" "I" 5 5 1 1
"371" 2015 112 "TRIS" "CAP" "I" 5 5 1 1
"372" 2000 113 "TRIS" "CAP" "I" 5 5 2 2
"373" 2003 118 "TRIS" "CAP" "I" 5 5 1 1
"374" 2000 123 "TRIS" "CAP" "I" 5 5 1 1
"375" 2003 125 "TRIS" "CAP" "I" 5 5 2 2
"376" 2010 125 "TRIS" "CAP" "I" 5 5 1 1
"377" 2012 125 "TRIS" "CAP" "I" 5 5 1 1
"378" 2015 129 "TRIS" "CAP" "I" 5 5 2 2
"379" 2012 146 "TRIS" "CAP" "I" 5 5 1 1
"380" 2013 146 "TRIS" "CAP" "I" 5 5 1 1
"381" 2015 158 "TRIS" "CAP" "I" 5 5 1 1
"382" 2013 162 "TRIS" "CAP" "I" 5 5 1 1
"383" 2001 9 "ELED" "CIR" "I" 5 5 1 1
"384" 2009 84 "ELED" "CIR" "I" 5 5 1 1
"385" 1996 111 "ELED" "CIR" "I" 5 5 1 1
"386" 1996 128 "ELED" "CIR" "I" 5 5 1 1
"387" 1996 135 "ELED" "CIR" "I" 5 5 1 1
"388" 1997 105 "ILLE" "COI" "I" 5 5 1 1
"389" 2009 6 "ASPI" "CUC" "I" 5 5 1 1
"390" 2014 10 "ASPI" "CUC" "I" 5 5 1 1
"391" 2012 13 "ASPI" "CUC" "I" 5 5 1 1
"392" 2012 41 "ASPI" "CUC" "I" 5 5 1 1
"393" 2014 95 "ASPI" "CUC" "I" 5 5 1 1
"394" 2004 108 "ASPI" "CUC" "I" 5 5 1 1
"395" 2013 129 "ASPI" "CUC" "I" 5 5 1 1
"396" 2001 130 "ASPI" "CUC" "I" 5 5 1 1
"397" 2010 131 "ASPI" "CUC" "I" 5 5 1 1
"398" 2014 148 "ASPI" "CUC" "I" 5 5 1 1
"399" 2015 150 "ASPI" "CUC" "I" 5 5 1 1
"400" 2016 179 "ASPI" "CUC" "I" 5 5 1 1
"401" 2018 6 "HELI" "DAC" "I" 5 5 1 1
"402" 1996 18 "HELI" "DAC" "I" 5 5 1 1
"403" 2000 27 "HELI" "DAC" "I" 5 5 3 3
"404" 2015 27 "HELI" "DAC" "I" 5 5 1 1
"405" 2000 28 "HELI" "DAC" "I" 5 5 4 4
"406" 2017 104 "HELI" "DAC" "I" 5 5 1 1
"407" 2002 106 "HELI" "DAC" "I" 5 5 1 1
"408" 2003 106 "HELI" "DAC" "I" 5 5 2 2
"409" 1996 110 "HELI" "DAC" "I" 5 5 3 3
"410" 2002 110 "HELI" "DAC" "I" 5 5 1 1
"411" 2018 110 "HELI" "DAC" "I" 5 5 2 2
"412" 2017 131 "HELI" "DAC" "I" 5 5 1 1
"413" 2003 132 "HELI" "DAC" "I" 5 5 3 3
"414" 1998 134 "HELI" "DAC" "I" 5 5 2 2
"415" 2001 136 "HELI" "DAC" "I" 5 5 3 3
"416" 2003 137 "HELI" "DAC" "I" 5 5 4 4
"417" 2012 137 "HELI" "DAC" "I" 5 5 2 2
"418" 1996 138 "HELI" "DAC" "I" 5 5 3 3
"419" 2017 147 "HELI" "DAC" "I" 5 5 1 1
"420" 2018 157 "HELI" "DAC" "I" 5 5 1 1
"421" 2018 156 "ENGR" "ENC" "I" 5 5 2 2
"422" 2016 175 "ENGR" "ENC" "I" 5 5 4 4
"423" 2018 1 "PAGE" "ERY" "I" 5 5 1 1
"424" 2017 110 "PAGE" "ERY" "I" 5 5 1 1
"425" 2013 121 "PAGE" "ERY" "I" 5 5 1 1
"426" 2014 121 "PAGE" "ERY" "I" 5 5 3 3
"427" 2018 1 "ZEUS" "FAB" "I" 5 5 1 1
"428" 2012 10 "ZEUS" "FAB" "I" 5 5 1 1
"429" 2016 23 "ZEUS" "FAB" "I" 5 5 1 1
"430" 2015 76 "ZEUS" "FAB" "I" 5 5 1 1
"431" 2017 76 "ZEUS" "FAB" "I" 5 5 3 3
"432" 2007 107 "ZEUS" "FAB" "I" 5 5 1 1
"433" 2004 109 "ZEUS" "FAB" "I" 5 5 2 2
"434" 2010 109 "ZEUS" "FAB" "I" 5 5 1 1
"435" 2017 134 "ZEUS" "FAB" "I" 5 5 1 1
"436" 2016 150 "ZEUS" "FAB" "I" 5 5 1 1
