MeditsCode;ScientificName;SourceReference;Reference;CATFAU;CODLON;Valid_Name_Ifremer_reference
CALOMAC;Calocaris macandreae ;Z ;Z ;B;m;Calocaris macandreae Bell, 1846 
CANCCAN;Cancellaria cancellata ;F ;GASTEROPOD A F14 ;E;0;Cancellaria cancellata (Linnaeus, 1767) 
CANIGRA;Calliostoma granulatum ;F ;TROCH ;D;0;Calliostoma granulatum (Von Born, 1778) 
CAPOAPE;Capros aper ;C ;123.1.1 ;A;0;Capros aper (Linnaeus, 1758) 
CARAHIP;Caranx hippos ;C ;131.1.1 ;A;0;Caranx hippos (Linnaeus, 1766) 
CARARHO;Caranx rhonchus ;C ;131.1.5 ;A;0;Caranx rhonchus Geoffroy Saint-Hilaire, 1817 
CARCPLU;Carcharhinus plumbeus ;C ;13.1.7 ;A;0;Carcharhinus plumbeus (Nardo, 1827) 
CARCSPP;Carcharhinus spp ;C ;13.1;A;0;Carcharhinus Blainville, 1816 
CARDACU;Acanthocardia aculeata ;F ;CARD Acan 1 ;E;0;Acanthocardia aculeata (Linnaeus, 1758) 
CARDECH;Acanthocardia (Cardium) echinata ;F ;CARD Acan 2 ;D;0;Acanthocardia echinata (Linnaeus, 1758) 
CARDSPI;Acanthocardia spinosa ;;D'Angelo ;E;0;Acanthocardia spinosa (Solander, 1786) 
CARISPP;Cardiomya spp. ;R ;RIEDL ;E;0;Cardiomya Adams A., 1864 
CARISTE;Caridion steveni ;F ;HIPPOL ;B;0;Caridion steveni Lebour, 1930 
CARPACU;Carapus acus ;C ;175.1.1 ;A;0;Carapus acus (Brünnich, 1768) 
CASSECH;Cassidaria echinophora ;F ;CASS Cass 1 ;D;0;Galeodea echinophora (Linnaeus, 1758) 
CASSSAB;Phalium (Cassis) saburon ;F ;CAS Phal 2 ;D;0;Phalium saburon (Bruguière, 1792) 
CASSTYR;Cassidaria tyrrhena ;F ;CASS Cass 2 ;D;0;Galeodea rugosa (Linnaeus, 1771) 
CATAALL;Cataetyx alleni ;C ;172.6.1 ;A;0;Cataetyx alleni (Byrne, 1906) 
CECACIR;Centracanthus cirrus ;C ;141.1.1 ;A;0;Centracanthus cirrus Rafinesque, 1810 
CENONIG;Centrolophus niger ;C ;176.1.1 ;A;0;Centrolophus niger (Gmelin, 1789) 
CENTGRA;Centrophorus granulosus ;C ;16.1.2 ;A;0;Centrophorus granulosus (Bloch & Schneider, 1801) 
CENTUYA;Centrophorus uyato ;C ;16.2.4 ;A;0;Centrophorus uyato (Rafinesque, 1810) 
CEPHVOL;Dactylopterus (Cephalacanthus) volitans ;C ;193.1.1 ;A;0;Dactylopterus volitans (Linnaeus, 1758) 
CEPOMAC;Cepola rubescens (macrophthalma) ;C ;128.1.1 ;A;0;Cepola macrophthalma (Linnaeus, 1758) 
CERAMAD;Cerastocopelus maderensis ;C ;58.4.1 ;A;0;Ceratoscopelus maderensis (Lowe, 1839) 
CHAUSLO;Chauliodus sloani ;C ;40.1.1 ;A;0;Chauliodus sloani Bloch & Schneider, 1801 
CHEOLAB;Chelon labrosus ;C ;181.2.1 ;A;0;Chelon labrosus (Risso, 1827) 
CHIMMON;Chimaera monstrosa ;C ;26.1.1 ;A;0;Chimaera monstrosa Linnaeus, 1758 
CHLAOPE;Chlamys opercularis ;F ;PECT Aeq 1 ;E;0;Aequipecten opercularis (Linnaeus, 1758) 
CHLAVAR;Chlamys varia ;F ;PECT Chlam 1 ;E;0;Chlamys varia (Linnaeus, 1758) 
CHLOGRA;Chlorotocus crassicornis (gracilipes) ;Z ;Z ;B;m;Chlorotocus crassicornis (A. Costa, 1871) 
CHROCHR;Chromis chromis ;C ;144.1.1 ;A;0;Chromis chromis (Linnaeus, 1758) 
CIRCCAS;Circomphalus casinus ;F ;VEN ;D;0;Venus casina Linnaeus, 1758 
CIROBOR;Cirolana borealis ;;;E;0;Cirolana borealis Lilljeborg, 1851 
CITHMAC;Citharus linguatula (macrolepidotus) ;C ;194.1.1 ;A;0;Citharus linguatula (Linnaeus, 1758) 
CLOPBIC;Chlopsis bicolor ;C ;77.1.1 ;A;0;Chlopsis bicolor Rafinesque, 1810 
CLORAGA;Chlorophthalmus agassizi ;C ;55.1.1 ;A;0;Chlorophthalmus agassizi Bonaparte, 1840 
COBLGAL;Coryphoblennius galerita ;C ;164.2.1 ;A;0;Coryphoblennius galerita (Linnaeus, 1758) 
COELCOE;Coelorhynchus coelorhynchus ;C ;99.12.1 ;A;0;Caelorinchus caelorhincus caelorhincus (Risso, 1810) 
COELOCC;Coelorhynchus occa (C. labiatus); C ;99.12.2 ;A;0;Caelorinchus occa (Goode & Bean, 1885) 
CONGCON;Conger conger ;C ;82.1.1 ;A;0;Conger conger (Linnaeus, 1758) 
CORIJUL;Coris julis ;C ;145.4.1 ;A;0;Coris julis (Linnaeus, 1758) 
CORYGUN;Coryphaenoides guentheri; C ;99.13.2 ;A;0;Coryphaenoides guentheri (Vaillant, 1888) 
CRANSPP;Crangon sp ;F ;CRANG ;B;m;Crangon J.C. Fabricius, 1798 
CRASGIG;Crassostrea gigas ;F ;OSTR Crass 1 ;E;0;Crassostrea gigas (Thunberg, 1793) 
CRASSPP;Crassostrea spp. ;F ;OSTR ;E;0;Crassostrea Sacco, 1897 
CUBIGRA;Cubiceps gracilis ;C ;177.2.1 ;A;0;Cubiceps gracilis (Lowe, 1843) 
CUSPCUS;Cuspidaria cuspidata ;;;E;0;Cuspidaria cuspidata (Olivi, 1792) 
CYCLPIG;Cyclothone pygmaea ;C ;37.4.8 ;A;0;Cyclothone pygmaea Jespersen & Tåning, 1926 
CYCLSPP;Cyclothone spp. ;C ;37.4;A;0;Cyclothone Goode & Bean, 1882 
CYMACOR;Cymatium corrogatum ;F ;CYM Cym 1 ;D;0;Cymatium corrugatum (Lamarck, 1816) 
CYMBOLL;Cymbium olla ;;;E;0;Cymbium olla (Linnaeus, 1758) 
CYNPFER;Cynoponticus ferox ;C ;79.1.1 ;A;0;Cynoponticus ferox Costa, 1846 
DALOIMB;Dalophis imberbis ;C ;86.3.1 ;A;0;Dalophis imberbis (Delaroche, 1809) 
DARDARR;Dardanus arrosor ;Z ;Z ;B;m;Dardanus arrosor (Herbst, 1796) 
DARDCAL;Dardanus calidus ;Z ;Z ;B;m;Dardanus calidus (Risso, 1827) 
DASICEN;Dasyatis centroura ;C ;22.1.2 ;A;0;Dasyatis centroura (Mitchill, 1815) 
DASIPAS;Dasyatis pastinaca ;C ;22.1.1 ;A;0;Dasyatis pastinaca (Linnaeus, 1758) 
DASITOR;Dasyatis tortonesi ;C ;22.1.4 ;A;0;Dasyatis pastinaca (Linnaeus, 1758) 
DASIVIO;Dasyatis violacea ;C ;22.1.3 ;A;0;Pteroplatytrygon violacea (Bonaparte, 1832) 
DENTDEN;Dentex dentex ;C ;139.3.1 ;A;0;Dentex dentex (Linnaeus, 1758) 
DENTGIB;Dentex gibbosus ;C ;139.3.3 ;A;0;Dentex gibbosus (Rafinesque, 1810) 
DENTMAC;Dentex macrophthalmus ;C ;139.3.4 ;A;0;Dentex macrophthalmus (Bloch, 1791) 
DENTMAR;Dentex maroccanus ;C ;139.3.5 ;A;0;Dentex maroccanus Valenciennes, 1830 
DENTSPP;Dentalium spp ;;;E;0;Dentalium Linnaeus, 1758 
DIAPHOL;Diaphus holti ;C ;58.6.5. ;A;0;Diaphus holti Tåning, 1918 
DIAPMET;Diaphus metopoclampus ;C ;58.6.7 ;A;0;Diaphus metopoclampus (Cocco, 1829) 
DIAPRAF;Diaphus rafinesquei ;C ;58.6.9 ;A;0;Diaphus rafinesquii (Cocco, 1838) 
DIAPSPP;Diaphus spp. ;C ;58.6. ;A;0;Diaphus Eigenmann & Eigenmann, 1890 
DICAMAY;Dicranodromia mayheuxi ;Z ;Z ;B;m;Dicranodromia mayheuxii A. Milne-Edwards, 1883
DICELAB;Dicentrarchus labrax ;C ;124.4.1 ;A;0;Dicentrarchus labrax (Linnaeus, 1758) 
DICEPUN;Dicentrarchus punctatus ;C ;124.4.2 ;A;0;Dicentrarchus punctatus (Bloch, 1792) 
DICOCUN;Dicologoglossa cuneata ;C ;198.4.2 ;A;0;Dicologlossa cuneata (Moreau, 1881) 
DIODITA;Diodora italica ;;;E;0;Diodora italica (Defrance, 1820) 
DIPGBIM;Diplacogaster bimaculata ;C ;208.2.1 ;A;0;Diplecogaster bimaculata bimaculata (Bonnaterre, 1788) 
DIPLANN;Diplodus annularis ;C ;139.4.1 ;A;0;Diplodus annularis (Linnaeus, 1758) 
DIPLCER;Diplodus cervinus cervinus ;C ;139.4.2. ;A;0;Diplodus cervinus cervinus (Lowe, 1838) 
DIPLPUN;Diplodus puntazo ;C ;139.8.1 ;A;0;Diplodus puntazzo (Cetti, 1777) 
DIPLSAR;Diplodus sargus ;C ;139.4.3 ;A;0;Diplodus sargus sargus (Linnaeus, 1758) 
DIPLVUL;Diplodus vulgaris ;C ;139.4.4 ;A;0;Diplodus vulgaris (Geoffroy Saint-Hilaire, 1817) 
DORHTHO;Dorhynchus thomsoni ;Z ;Z ;B;m;Dorhynchus thomsoni Wyville & Thomson, 1873 
DORILAN;Dorippe lanata ;Z ;Z ;B;m;Medorippe lanata (Linnaeus, 1767) 
DORITHO;Dorhynchus thomsoni ;Z ;Z ;C;m;Dorhynchus thomsoni Wyville & Thomson, 1873 
DORSVER;Doris verrucosa ;R ;RIEDL ;E;0;Doris verrucosa Linnaeus, 1758 
DOSISPP;Dosinia spp ;;;D;0;Dosinia Scopoli, 1777 
DROMPER;Dromia personata ;F ;DROM Drom 1 ;B;m;Dromia personata (Linnaeus, 1758) 
DUSSELO;Dussumieria elopsoides ;X ;X ;A;;Dussumieria elopsoides Bleeker, 1849 
EBALCRA;Ebalia cranchi ;Z ;Z ;B;0;Ebalia cranchi Leach, 1817 
EBALNUX;Ebalia nux ;Z ;Z ;B;m;Ebalia nux A. Milne-Edwards, 1883 
ECHEMIR;Echelus myrus ;C ;84.1.1 ;A;0;Echelus myrus (Linnaeus, 1758) 
ECHIDEN;Echiodon dentatus ;C ;175.2.2 ;A;0;Echiodon dentatus (Cuvier, 1829) 
ELECRIS;Electrona rissoi ;C ;58.8.1 ;A;0;Electrona risso (Cocco, 1829) 
ELEDCIR;Eledone cirrhosa ;F ;OCT Eled 1 ;C;0;Eledone cirrhosa (Lamarck, 1798) 
ELEDMOS;Eledone moschata ;F ;OCT Eled 2 ;C;0;Eledone moschata (Lamarck, 1798) 
ELEDSPP;Eledone spp ;F ;OCT ;C;0;Eledone Leach, 1817 
ENGRENC;Engraulis encrasicolus ;C ;35.1.1 ;A;0;Engraulis encrasicolus (Linnaeus, 1758) 
EPHIGUT;Ephippion guttiferum ;C ;204.1.1 ;A;0;Ephippion guttifer (Bennett, 1831) 
EPIGCON;Epigonus constanciae ;C ;127.2.3 ;A;0;Epigonus constanciae (Giglioli, 1880) 
EPIGDEN;Epigonus denticulatus ;C ;127.2.2 ;A;0;Epigonus denticulatus Dieuzeide, 1950 
EPIGTEL;Epigonus telescopus ;C ;127.2.1 ;A;0;Epigonus telescopus (Risso, 1810) 
EPINAEN;Epinephelus aeneus ;C ;124.5.1 ;A;0;Epinephelus aeneus (Geoffroy Saint-Hilaire, 1817)
EPINALE;Epinephelus alexandrinus ;C ;124.5.2 ;A;0;Epinephelus costae (Steindachner, 1878) 
EPINCAN;Epinephelus caninus ;C ;124.5.3 ;A;0;Epinephelus caninus (Valenciennes, 1843) 
EPINGUA;Epinephelus guaza ;C ;124.5.4 ;A;0;Epinephelus marginatus (Lowe, 1834) 
EPINSPP;Epinephelus spp ;C ;124.5;A;0;Epinephelus Bloch, 1793 
ERETKLE;Eretmophorus kleinenbergi ;C ;103.1.1 ;A;0;Eretmophorus kleinenbergi Giglioli, 1889 
ERGACLO;Ergasticus clouei ;Z ;Z ;B;m;Ergasticus clouei A. Milne-Edwards, 1882 
ETHUMAS;Ethusa mascarone ;Z ;Z ;B;m;Ethusa mascarone (Herbst, 1785) 
ETMOSPI;Etmopterus spinax ;C ;16.6.1 ;A;0;Etmopterus spinax (Linnaeus, 1758) 
EUCHLIG;Euchirograpsus liguricus ;Z ;Z ;B;m;Euchirograpsus liguricus H. Milne-Edwards, 1853
EUPHSPP;Euphausiidae ;;;B;m;Euphausiidae 
EURYASP;Eurynome aspera ;Z ;Z ;B;m;Eurynome aspera (Pennant, 1777) 
EUTRGUR;Eutrigla gurnardus ;C ;185.3.1 ;A;0;Eutrigla gurnardus (Linnaeus, 1758) 
EVERBAL;Evermannella balboi (= balbo) ;C ;60.1.1 ;A;0;Evermannella balbo (Risso, 1820) 
FLEXFLE;Flexopecten flexuosus ;F ;PETC Flex ;E;0;Chlamys flexuosa (Poli, 1795) 
FUNCWOO; Funchalia woodwardi ;F ;PEN ;B;m;Funchalia woodwardi Johnson, 1867 
FUSIROS;Fusinus rostratus ;F ;FASC Fus 1 ;E;0;Fusinus rostratus (Olivi, 1792) 
FUSTUND;Fusituris undatiruga ;;;E;0;Fusiturris undatiruga (Bivona, 1832) 
GADAMAR;Gadella maraldi ;C ;103.3.1 ;A;0;Gadella maraldi (Risso, 1810) 
GADIARG;Gadiculus argenteus ;C ;101.5.1 ;A;0;Gadiculus argenteus argenteus Guichenot, 1850 
GADUMER;Merlangius merlangus; C ;101.7.1 ;A;0;Merlangius merlangus (Linnaeus, 1758) 
GAIDMED;Gaidropsarus mediterraneus ;C ;101.20.1 ;A;0;Gaidropsarus mediterraneus (Linnaeus, 1758) 
GAIDVUL;Gaidropsarus vulgaris ;C ;101.20.4 ;A;0;Gaidropsarus vulgaris (Cloquet, 1824) 
GALADIS;Galathea dispersa ;Z ;Z ;B;m;Galathea dispersa Bate, 1859 
GALAINT;Galathea intermedia ;Z ;Z ;B;m;Galathea intermedia Liljeborg, 1851 
GALANEX;Galathea nexa ;Z ;Z ;B;m;Galathea nexa Embleton, 1834 
GALEGAL;Galeorhinus galeus; C ;13.3.1 ;A;0;Galeorhinus galeus (Linnaeus, 1758) 
GALIDEC;Galeoides decadactylus ;C ;182.1.1 ;A;0;Galeoides decadactylus (Bloch, 1795) 
GALUATL;Galeus atlanticus ;F ;SCYL Gal 11 ;A;0;Galeus atlanticus (Vaillant, 1888) 
GALUMEL;Galeus melastomus; C ;11.3.1 ;A;0;Galeus melastomus Rafinesque, 1810 
GENNELE;Gennadas elegans ;F ;ARIST ;B;m;Gennadas elegans S.I. Smith, 1882 
GEPYDAR;Gephyroberyx darwini ;C ;115.1.1 ;A;0;Gephyroberyx darwinii (Johnson, 1866) 
GERYLON;Geryon longipes ;F ;GER Ger 2 ;B;m;Geryon longipes A. Milne-Edwards, 1882 
GIBBSPP;Gibbula sp ;;D'Angelo ;;0;Gibbula Risso, 1826 
GLOSLEI;Glossanodon leioglossus ;C ;46.2.1 ;A;0;Glossanodon leioglossus (Valenciennes, 1848) 
GLOSVAL;Glossodoris valenciennesi ;R ;RIEDL ;E;0;Hypselodoris picta (Schultz) 
GLOUHUM;Glossus humanus ;F ;GLOSS Gloss 1 ;E;0;Glossus humanus (Linnaeus, 1758) 
GNATMYS;Gnathophis mystax ;C ;82.3.1 ;A;0;Gnathophis mystax (Delaroche, 1809) 
GOBICOL;Deltentosteus (Gobius) colonialus ;C ;162.10.2 ;A;0;Deltentosteus collonianus (Risso, 1820) 
GOBIFRI;Leusueurigobius (Gobius) friesii ;C ;162.16.2 ;A;0;Lesueurigobius friesii (Malm, 1874) 
GOBIGEN;Gobius geniporus ;C ;162.1.8 ;A;0;Gobius geniporus Valenciennes, 1837 
GOBILIN;Crystallogobius (Gobius) linearis C ;C ;162.9.1 ;A;0;Crystallogobius linearis (Düben, 1845) 
GOBINIG;Gobius niger ;C ;162.1.1 ;A;0;Gobius niger Linnaeus, 1758 
GOBIQUA;Deltentosteus (Gobius) quadrimaculatus ;;162.10.1 ;A;0;Deltentosteus quadrimaculatus (Valenciennes, 1837) 
GOBISAN;Lesueurigobius (Gobius) sanzoi ;C ;162.16.4 ;A;0;Lesueurigobius sanzoi (De Buen, 1918) 
GOBISPP;Gobius spp ;C ;162;A;0;Gobius Linnaeus, 1758 
GOBISUE;Lesueurigobius suerii ;Z ;162.16.1 ;A;0;Lesueurigobius suerii (Risso, 1810) 
GONERHO;Goneplax rhomboides (= angulata) ;Z ;;B;m;Goneplax rhomboides (Linnaeus, 1758) 
GONICOC;Gonichthys coccoi ;C ;58.9.1 ;A;0;Gonichthys cocco (Cocco, 1829) 
GONODEN;Gonostoma denudatum ;C ;37.1.1 ;A;0;Gonostoma denudatum Rafinesque, 1810 
GYMACIC;Gymnammodytes cicerellus ;C ;147.2.1 ;A;0;Gymnammodytes cicerelus (Rafinesque, 1810) 
GYMNALT;Gymnura altavela ;C ;22.2.1 ;A;0;Gymnura altavela (Linnaeus, 1758) 
HADRCRA;Hadriana craticuloides ;F ;MUR ;D;0;Hadriania craticuloides (Vokes, 1964) 
HELIDAC;Helicolenus dactylopterus ;C ;184.2.1 ;A;0;Helicolenus dactylopterus dactylopterus (Delaroche, 1809) 
HEPTPER;Heptranchias perlo ;C ;3.2.1 ;A;0;Heptranchias perlo (Bonnaterre, 1788) 
HETEDIS;Heteroteuthis dispar ;F ;SEPIOL ;C;0;Heteroteuthis dispar (Rüppell, 1845) 
HEXAGRI;Hexanchus griseus ;C ;3.1.1 ;A;0;Hexanchus griseus (Bonnaterre, 1788) 
HEXAVIT;Hexanchus nakamurai (vitulus) ;C ;3.1.2 ;A;0;Hexanchus nakamurai Teng, 1962 
HINIINC;Hinia incrassata ;F ;NASS Hin ;E;0;Nassarius incrassatus (Ström, 1768) 
HINIRET;Hinia reticulata ;F ;NASS Hin 1 ;E;0;Nassarius reticulatus (Linnaeus, 1758) 
